2026-05-01 11:14:22,144 | INFO | httpx | HTTP Request: GET http://testserver/health "HTTP/1.1 200 OK"
2026-05-01 11:14:22,161 | INFO | HMMStockPredictor | Training HMM with 195 samples and config=HMMConfig(n_hidden_states=3, n_iter=50, covariance_type='diag', random_state=42)
2026-05-01 11:14:22,163 | INFO | model.simple_hmm | Fallback GaussianHMM fitted with 3 states
2026-05-01 11:14:22,163 | INFO | HMMStockPredictor | Training finished. LogLik=1557.72 Samples=195
2026-05-01 11:14:22,173 | INFO | model.evaluation | Evaluation completed: regimes=3 accuracy_points=176 loglike_points=176
2026-05-01 11:14:22,177 | INFO | httpx | HTTP Request: POST http://testserver/train "HTTP/1.1 200 OK"
2026-05-01 11:14:22,190 | INFO | HMMStockPredictor | Training HMM with 195 samples and config=HMMConfig(n_hidden_states=3, n_iter=50, covariance_type='diag', random_state=42)
2026-05-01 11:14:22,192 | INFO | model.simple_hmm | Fallback GaussianHMM fitted with 3 states
2026-05-01 11:14:22,193 | INFO | HMMStockPredictor | Training finished. LogLik=1557.72 Samples=195
2026-05-01 11:14:22,201 | INFO | model.evaluation | Evaluation completed: regimes=3 accuracy_points=176 loglike_points=176
2026-05-01 11:14:22,204 | INFO | httpx | HTTP Request: POST http://testserver/train "HTTP/1.1 200 OK"
2026-05-01 11:14:22,218 | INFO | HMMStockPredictor | Training HMM with 195 samples and config=HMMConfig(n_hidden_states=3, n_iter=50, covariance_type='diag', random_state=42)
2026-05-01 11:14:22,220 | INFO | model.simple_hmm | Fallback GaussianHMM fitted with 3 states
2026-05-01 11:14:22,220 | INFO | HMMStockPredictor | Training finished. LogLik=1557.72 Samples=195
2026-05-01 11:14:22,228 | INFO | model.evaluation | Evaluation completed: regimes=3 accuracy_points=176 loglike_points=176
2026-05-01 11:14:22,232 | INFO | httpx | HTTP Request: POST http://testserver/train "HTTP/1.1 200 OK"
2026-05-01 11:14:22,237 | INFO | httpx | HTTP Request: POST http://testserver/predict "HTTP/1.1 200 OK"
2026-05-01 11:14:22,251 | INFO | HMMStockPredictor | Training HMM with 195 samples and config=HMMConfig(n_hidden_states=3, n_iter=50, covariance_type='diag', random_state=42)
2026-05-01 11:14:22,253 | INFO | model.simple_hmm | Fallback GaussianHMM fitted with 3 states
2026-05-01 11:14:22,253 | INFO | HMMStockPredictor | Training finished. LogLik=1557.72 Samples=195
2026-05-01 11:14:22,262 | INFO | model.evaluation | Evaluation completed: regimes=3 accuracy_points=176 loglike_points=176
2026-05-01 11:14:22,265 | INFO | httpx | HTTP Request: POST http://testserver/train "HTTP/1.1 200 OK"
2026-05-01 11:14:22,275 | INFO | model.utils | Merged 2 preprocessed batches. Total rows=390
2026-05-01 11:14:22,275 | INFO | HMMStockPredictor | Fine-tuning with 390 new samples retain_history=True
2026-05-01 11:14:22,275 | INFO | HMMStockPredictor | Training HMM with 585 samples and config=HMMConfig(n_hidden_states=3, n_iter=50, covariance_type='diag', random_state=42)
2026-05-01 11:14:22,277 | INFO | model.simple_hmm | Fallback GaussianHMM fitted with 3 states
2026-05-01 11:14:22,278 | INFO | HMMStockPredictor | Training finished. LogLik=4668.70 Samples=585
2026-05-01 11:14:22,286 | INFO | model.evaluation | Evaluation completed: regimes=3 accuracy_points=371 loglike_points=371
2026-05-01 11:14:22,289 | INFO | httpx | HTTP Request: POST http://testserver/fine-tune "HTTP/1.1 200 OK"
